,name,year,selling_price,km_driven,owner,fuel_CNG,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual
150,Maruti Vitara Brezza VDi,2018.0,800000,35000.0,1,0,1,0,0,0,0,1,0,0,1
151,Hyundai Santro Xing XL eRLX Euro III,2007.0,75000,60000.0,2,0,0,0,0,1,0,1,0,0,1
152,Hyundai Getz 1.3 GLS,2008.0,210000,53772.0,1,0,0,0,0,1,0,1,0,0,1
153,Mahindra Quanto C8,2012.0,195000,140000.0,2,0,1,0,0,0,0,1,0,0,1
154,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015.0,400000,120000.0,1,0,1,0,0,0,0,1,0,0,1
155,Hyundai EON Magna Plus,2012.0,170000,60000.0,1,0,0,0,0,1,0,1,0,0,1
156,Renault KWID RXT,2016.0,225000,25000.0,1,0,0,0,0,1,0,1,0,0,1
157,Maruti Wagon R DUO LPG,2014.0,210000,60000.0,1,0,0,0,1,0,0,1,0,0,1
158,Maruti Wagon R LXI,2020.0,240000,120000.0,1,0,0,0,0,1,0,1,0,0,1
159,Chevrolet Enjoy 1.3 TCDi LS 8,2015.0,300000,175000.0,1,0,1,0,0,0,0,1,0,0,1
160,Chevrolet Spark 1.0 LS,2011.0,99000,100000.0,3,0,0,0,0,1,0,1,0,0,1
161,Honda City i VTEC SV,2014.0,620000,36000.0,1,0,0,0,0,1,0,1,0,0,1
162,Honda Amaze VX i-DTEC,2013.0,500000,30000.0,1,0,1,0,0,0,0,1,0,0,1
163,Jaguar XJ 5.0 L V8 Supercharged,2010.0,2550000,40000.0,2,0,0,0,0,1,0,1,0,1,0
164,Honda Brio E MT,2013.0,260000,70000.0,2,0,0,0,0,1,0,1,0,0,1
165,Maruti Swift VVT ZXI,2017.0,550000,60000.0,1,0,0,0,0,1,0,1,0,0,1
166,Tata Indigo CR4,2011.0,150000,155500.0,1,0,1,0,0,0,0,1,0,0,1
167,Hyundai i10 Asta AT,2011.0,350000,50000.0,2,0,0,0,0,1,0,1,0,1,0
168,Chevrolet Beat LT,2016.0,320000,40000.0,1,0,0,0,0,1,0,1,0,0,1
169,Maruti Swift VDI BSIV,2015.0,400000,100000.0,3,0,1,0,0,0,0,1,0,0,1
170,Maruti Alto LXi,2012.0,175000,80000.0,3,0,0,0,0,1,0,1,0,0,1
171,Chevrolet Beat LT,2011.0,120000,90000.0,2,0,0,0,0,1,0,1,0,0,1
172,Renault Duster 110PS Diesel RxZ,2013.0,320000,90000.0,2,0,1,0,0,0,0,1,0,0,1
173,Hyundai Santro Xing XG,2006.0,70000,110000.0,3,0,0,0,0,1,0,1,0,0,1
174,Maruti Swift Dzire ZXI Plus,2019.0,810000,15000.0,1,0,0,0,0,1,0,1,0,0,1
175,Maruti 800 AC,2007.0,95000,60000.0,2,0,0,0,0,1,0,1,0,0,1
176,Maruti Alto K10 LXI CNG,2020.0,282000,40000.0,1,1,0,0,0,0,0,1,0,0,1
177,Maruti 800 Std BSII,2004.0,80000,60000.0,2,0,0,0,0,1,0,1,0,0,1
178,Tata Nano LX SE,2013.0,72000,25000.0,1,0,0,0,0,1,0,1,0,0,1
179,Hyundai i20 Magna 1.2,2016.0,600000,25000.0,1,0,0,0,0,1,0,1,0,0,1
180,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015.0,640000,23000.0,1,0,0,0,0,1,0,1,0,0,1
181,Maruti Alto K10 VXI,2018.0,380000,22155.0,1,0,0,0,0,1,0,1,0,0,1
182,Maruti Ciaz 1.4 Delta,2018.0,650000,70000.0,1,0,0,0,0,1,0,1,0,0,1
183,Maruti Alto LX,2009.0,150000,60000.0,2,0,0,0,0,1,0,1,0,0,1
184,Hyundai i20 Asta,2009.0,280000,110000.0,2,0,0,0,0,1,0,1,0,0,1
185,Tata Nexon 1.2 Revotron XM,2018.0,430000,30000.0,1,0,0,0,0,1,0,1,0,0,1
186,Mahindra Bolero Power Plus SLX,2019.0,800000,15000.0,1,0,1,0,0,0,0,1,0,0,1
187,Maruti Zen D,2003.0,75000,100000.0,2,0,1,0,0,0,0,1,0,0,1
188,Volkswagen Vento Celeste 1.5 TDI Highline AT,2016.0,650000,70000.0,1,0,1,0,0,0,0,1,0,1,0
189,Maruti Eeco 7 Seater Standard BSIV,2017.0,390000,24000.0,1,0,0,0,0,1,0,1,0,0,1
190,Honda City 1.5 EXI,2005.0,100000,120000.0,2,0,0,0,0,1,0,1,0,0,1
191,Mercedes-Benz New C-Class 220 CDI AT,2013.0,1500000,35000.0,1,0,1,0,0,0,0,1,0,1,0
192,Maruti SX4 Zxi with Leather BSIII,2007.0,175000,78380.0,1,0,0,0,0,1,0,1,0,0,1
193,Renault Duster 110PS Diesel RxZ,2012.0,434999,110000.0,2,0,1,0,0,0,0,1,0,0,1
194,Ford Figo Diesel Titanium,2010.0,170000,90000.0,3,0,1,0,0,0,0,1,0,0,1
195,Ford Figo Diesel Titanium,2011.0,190000,90000.0,3,0,1,0,0,0,0,1,0,0,1
196,Maruti Swift Dzire VDi,2009.0,250000,150000.0,3,0,1,0,0,0,0,1,0,0,1
197,Mahindra Xylo E4,2009.0,229999,230000.0,3,0,1,0,0,0,0,1,0,0,1
198,Maruti Esteem Vxi - BSIII,2006.0,140000,70000.0,3,0,0,0,0,1,0,1,0,0,1
199,Maruti Swift VDI BSIV,2017.0,600000,80362.0,1,0,1,0,0,0,0,1,0,0,1
200,Hyundai i20 1.2 Sportz,2012.0,280000,110000.0,3,0,0,0,0,1,0,1,0,0,1
201,Chevrolet Beat Diesel LT,2012.0,150000,60000.0,1,0,1,0,0,0,0,1,0,0,1
202,Chevrolet Cruze LTZ AT,2015.0,650000,50000.0,1,0,1,0,0,0,0,1,0,1,0
203,Nissan Micra XL,2014.0,210000,40000.0,2,0,0,0,0,1,0,1,0,0,1
204,BMW 5 Series 520d Luxury Line,2017.0,2900000,40000.0,1,0,1,0,0,0,0,1,0,1,0
205,Chevrolet Enjoy 1.3 TCDi LS 8,2013.0,425000,20000.0,1,0,1,0,0,0,1,0,0,0,1
206,Hyundai EON Era Plus Option,2014.0,265000,55000.0,1,0,0,0,0,1,1,0,0,0,1
207,Fiat Linea T Jet Emotion,2018.0,890000,1136.0,1,0,0,0,0,1,1,0,0,0,1
208,Renault Scala RxL,2013.0,365000,55000.0,1,0,0,0,0,1,1,0,0,0,1
209,Ford Figo Petrol Titanium,2014.0,350000,43000.0,1,0,0,0,0,1,1,0,0,0,1
210,Maruti Ciaz ZDi SHVS,2016.0,685000,60000.0,1,0,1,0,0,0,0,1,0,0,1
211,Skoda Rapid 1.5 TDI Ambition BSIV,2018.0,940000,2650.0,1,0,1,0,0,0,1,0,0,0,1
212,Mahindra XUV500 W6 2WD,2017.0,1000000,40000.0,1,0,1,0,0,0,0,1,0,0,1
213,Mahindra XUV300 W8 Option,2019.0,1150000,15000.0,1,0,0,0,0,1,1,0,0,0,1
214,Maruti Ertiga SHVS ZDI,2016.0,450000,115962.0,2,0,1,0,0,0,0,1,0,0,1
215,Nissan Terrano XE D,2015.0,590000,65000.0,1,0,1,0,0,0,1,0,0,0,1
216,Maruti S-Cross Facelift,2017.0,800000,40000.0,1,0,1,0,0,0,0,1,0,0,1
217,Hyundai i20 Magna 1.4 CRDi (Diesel),2012.0,385000,58000.0,1,0,1,0,0,0,1,0,0,0,1
218,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013.0,2000000,15000.0,1,0,1,0,0,0,0,1,0,1,0
219,Hyundai EON Era Plus,2012.0,235000,54000.0,1,0,0,0,0,1,1,0,0,0,1
220,Volkswagen Ameo 1.5 TDI Highline,2017.0,640000,56000.0,1,0,1,0,0,0,1,0,0,0,1
221,Maruti Alto LX,2006.0,52000,120000.0,3,0,1,0,0,0,0,1,0,0,1
222,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009.0,80000,90000.0,2,0,1,0,0,0,0,1,0,0,1
223,Maruti Alto LX,2012.0,140000,70000.0,2,0,0,0,0,1,0,1,0,0,1
224,Hyundai Verna i (Petrol),2008.0,120000,90000.0,2,0,0,0,0,1,0,1,0,0,1
225,Mahindra Renault Logan 1.5 DLS,2008.0,89999,213000.0,1,0,1,0,0,0,0,1,0,0,1
226,Chevrolet Optra Magnum 2.0 LS BSIII,2012.0,180000,120000.0,1,0,1,0,0,0,0,1,0,0,1
227,Mahindra Scorpio S11 BSIV,2017.0,1500000,20000.0,1,0,1,0,0,0,0,1,0,0,1
228,Hyundai i20 Active 1.2 SX,2017.0,700000,10000.0,1,0,0,0,0,1,0,1,0,0,1
229,Maruti SX4 Celebration Diesel,2012.0,285000,80000.0,2,0,1,0,0,0,0,1,0,0,1
230,Hyundai Grand i10 Magna,2015.0,390000,90000.0,1,0,0,0,0,1,0,1,0,0,1
231,Maruti Alto LXi BSIII,2008.0,125000,80000.0,1,0,0,0,0,1,0,1,0,0,1
232,Maruti SX4 Zxi with Leather BSIII,2008.0,225000,60000.0,2,0,0,0,0,1,0,1,0,0,1
233,Hyundai i10 Era,2011.0,175000,139000.0,2,0,0,0,0,1,0,1,0,0,1
234,Toyota Innova 2.5 V Diesel 7-seater,2011.0,1075000,160000.0,2,0,1,0,0,0,0,1,0,0,1
235,Honda Mobilio V i DTEC,2014.0,300000,150000.0,1,0,1,0,0,0,0,1,0,0,1
236,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010.0,700000,163000.0,4,0,1,0,0,0,0,1,0,0,1
237,Tata Indica V2 2001-2011 DLS BSIII,2009.0,90000,120000.0,1,0,1,0,0,0,1,0,0,0,1
238,Tata Indica Vista TDI LS,2011.0,120000,120000.0,2,0,1,0,0,0,0,1,0,0,1
239,Chevrolet Beat Diesel LS,2012.0,220000,100000.0,2,0,1,0,0,0,0,1,0,0,1
240,Tata Zest Quadrajet 1.3 75PS XE,2015.0,300000,140000.0,1,0,1,0,0,0,1,0,0,0,1
241,Skoda Fabia 1.2L Diesel Ambiente,2010.0,180000,87000.0,2,0,1,0,0,0,1,0,0,0,1
242,Maruti 800 Std,2013.0,170000,70000.0,1,0,0,0,0,1,0,1,0,0,1
243,Ford Figo Petrol Titanium,2015.0,300000,50000.0,2,0,0,0,0,1,0,1,0,0,1
244,Toyota Innova 2.5 VX (Diesel) 8 Seater,2014.0,1050000,70000.0,1,0,1,0,0,0,0,1,0,0,1
246,Hyundai Grand i10 1.2 CRDi Asta,2018.0,465000,25000.0,1,0,1,0,0,0,0,1,0,0,1
247,Chevrolet Beat Diesel LT,2011.0,130000,80000.0,2,0,1,0,0,0,0,1,0,0,1
248,Datsun GO Plus T Option Petrol,2018.0,434999,10000.0,1,0,0,0,0,1,0,1,0,0,1
249,Hyundai Grand i10 1.2 Kappa Asta,2018.0,500000,32000.0,1,0,0,0,0,1,0,1,0,0,1
250,Maruti Omni MPI STD BSIV,2018.0,200000,10000.0,1,0,0,0,0,1,0,1,0,0,1
251,Maruti Baleno Alpha 1.2,2017.0,625000,52000.0,1,0,0,0,0,1,1,0,0,0,1
252,Ford Fiesta Classic 1.4 SXI Duratorq,2006.0,110000,120000.0,3,0,1,0,0,0,0,1,0,0,1
253,Hyundai Elite i20 Asta Option BSIV,2019.0,800000,11240.0,1,0,0,0,0,1,0,1,0,0,1
254,Hyundai Grand i10 CRDi Magna,2017.0,490000,66000.0,1,0,1,0,0,0,1,0,0,0,1
255,Maruti Ertiga SHVS ZDI,2017.0,880000,64000.0,1,0,1,0,0,0,1,0,0,0,1
256,Hyundai Santro Xing GL Plus,2013.0,290000,49000.0,1,0,0,0,0,1,0,1,0,0,1
257,Tata Sumo GX TC 7 Str BSIII,2006.0,115999,100000.0,2,0,1,0,0,0,0,1,0,0,1
258,Renault KWID RXT,2018.0,360000,26500.0,1,0,0,0,0,1,0,1,0,0,1
259,Maruti 800 AC,2002.0,65000,100000.0,2,0,0,0,0,1,0,1,0,0,1
260,Maruti Vitara Brezza LDi Option,2017.0,685000,72000.0,1,0,1,0,0,0,1,0,0,0,1
261,Honda Jazz S,2009.0,300000,50000.0,1,0,0,0,0,1,0,1,0,0,1
262,Hyundai i20 1.4 Sportz,2017.0,680000,44000.0,1,0,1,0,0,0,1,0,0,0,1
